"","Item_Identifier","Item_Weight","Item_Fat_Content","Item_Visibility","Item_Type","Item_MRP","Outlet_Identifier","Outlet_Establishment_Year","Outlet_Size","Outlet_Location_Type","Outlet_Type","Item_Outlet_Sales"
"3773","FDU39",18.85,"Low Fat",0.036184755,"Meat",58.5562,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",770.3306
"3776","NCZ42",10.5,"Low Fat",0.011278535,"Household",237.0248,"OUT013",1987,"High","Tier 3","Supermarket Type1",5451.5704
"3779","FDZ36",6.035,"Regular",0.066051758,"Baking Goods",187.724,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",2050.664
"3780","FDK38",6.65,"Low Fat",0.053506996,"Canned",150.0734,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",3563.3616
"3782","FDS14",7.285,"Low Fat",0.049922304,"Dairy",156.9288,"OUT013",1987,"High","Tier 3","Supermarket Type1",1571.288
"3783","FDQ40",11.1,"Regular",0.036083537,"Frozen Foods",175.4712,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",2988.1104
"3784","FDE20",11.35,"Regular",0.005539114,"Fruits and Vegetables",167.879,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",4074.696
"3785","FDH58",12.3,"Low Fat",0.036939673,"Snack Foods",113.1834,"OUT046",1997,"Small","Tier 1","Supermarket Type1",3109.9518
"3789","FDH56",9.8,"Regular",0.06407717,"Fruits and Vegetables",116.7492,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1621.8888
"3791","FDQ40",11.1,"Regular",0.036020711,"Frozen Foods",177.2712,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2109.2544
"3792","FDH10",21,"Low Fat",0.049295686,"Snack Foods",194.4478,"OUT035",2004,"Small","Tier 2","Supermarket Type1",968.739
"3795","FDM51",11.8,"Regular",0.025904648,"Meat",102.4674,"OUT013",1987,"High","Tier 3","Supermarket Type1",2037.348
"3797","DRD37",9.8,"Low Fat",0.013830218,"Soft Drinks",45.306,"OUT013",1987,"High","Tier 3","Supermarket Type1",1304.968
"3798","FDN21",18.6,"Low Fat",0.076855628,"Snack Foods",161.0236,"OUT046",1997,"Small","Tier 1","Supermarket Type1",483.3708
"3799","NCQ06",13,"Low Fat",0.041824524,"Household",256.7014,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2805.0154
"3800","FDV52",20.7,"Regular",0.12152072,"Frozen Foods",118.0466,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1060.6194
"3802","FDX51",9.5,"Regular",0.022054553,"Meat",195.4452,"OUT035",2004,"Small","Tier 2","Supermarket Type1",4502.1396
"3803","NCD54",21.1,"Low Fat",0.029054046,"Household",144.6786,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",2889.572
"3805","FDZ01",8.975,"Regular",0.009057132,"Canned",104.099,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2476.776
"3806","FDT48",4.92,"Low Fat",0.045955031,"Baking Goods",199.1084,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2182.4924
"3807","FDB40",17.5,"Regular",0.007551607,"Dairy",145.8102,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1895.5326
"3809","FDT52",9.695,"Regular",0.047503318,"Frozen Foods",244.6144,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",3185.1872
"3813","NCK18",9.6,"Low Fat",0.006692529,"Household",164.9184,"OUT013",1987,"High","Tier 3","Supermarket Type1",2972.1312
"3819","FDY49",17.2,"Regular",0.0120098,"Canned",163.1184,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2807.0128
"3820","FDD26",8.71,"Regular",0.072141818,"Canned",183.3924,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2776.386
"3821","FDC22",6.89,"Regular",0.136984147,"Snack Foods",192.682,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",2703.148
"3824","FDW01",14.5,"Low Fat",0,"Canned",154.4682,"OUT013",1987,"High","Tier 3","Supermarket Type1",1524.682
"3827","NCA05",20.75,"Low Fat",0,"Health and Hygiene",149.4734,"OUT013",1987,"High","Tier 3","Supermarket Type1",2969.468
"3828","FDR10",17.6,"Low Fat",0.010031539,"Snack Foods",161.5552,"OUT013",1987,"High","Tier 3","Supermarket Type1",1787.0072
"3829","FDL22",16.85,"Low Fat",0.036383293,"Snack Foods",91.0488,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1086.5856
"3830","FDD10",20.6,"Regular",0,"Snack Foods",178.1344,"OUT035",2004,"Small","Tier 2","Supermarket Type1",3568.688
"3831","FDW25",5.175,"Low Fat",0.03736783,"Canned",86.9224,"OUT013",1987,"High","Tier 3","Supermarket Type1",255.6672
"3832","FDR47",17.85,"Low Fat",0.087604647,"Breads",196.9794,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1560.6352
"3833","DRF27",8.93,"Low Fat",0.028461453,"Dairy",152.234,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",5053.422
"3835","FDS37",7.655,"Low Fat",0.031938828,"Canned",114.1492,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1158.492
"3836","NCI18",18.35,"Low Fat",0.014024028,"Household",224.5746,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2692.4952
"3838","FDY48",14,"Low Fat",0.023730384,"Baking Goods",104.3332,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1435.4648
"3839","FDB39",11.6,"Low Fat",0.038578846,"Dairy",56.1272,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",671.1264
"3840","DRI37",15.85,"Low Fat",0.108036187,"Soft Drinks",57.3904,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",703.0848
"3842","FDV12",16.7,"Regular",0.06082402,"Baking Goods",98.7384,"OUT013",1987,"High","Tier 3","Supermarket Type1",1773.6912
"3843","NCU06",17.6,"Low Fat",0.074345142,"Household",230.901,"OUT013",1987,"High","Tier 3","Supermarket Type1",4364.319
"3844","FDU34",18.25,"Low Fat",0.075501241,"Snack Foods",123.1046,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",249.0092
"3845","FDP31",21.1,"Regular",0.16216286,"Fruits and Vegetables",62.2168,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",383.5008
"3846","FDV11",9.1,"Regular",0.081652352,"Breads",177.0054,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2101.2648
"3847","NCY06",15.25,"Low Fat",0.061434045,"Household",130.9968,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",2348.9424
"3850","FDM38",5.885,"Regular",0.092694107,"Canned",53.6982,"OUT013",1987,"High","Tier 3","Supermarket Type1",1525.3478
"3851","FDA14",16.1,"Low Fat",0.065183228,"Dairy",148.076,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1464.76
"3853","DRH49",19.7,"Low Fat",0.024635077,"Soft Drinks",84.1592,"OUT013",1987,"High","Tier 3","Supermarket Type1",1073.2696
"3856","FDS16",15.15,"Regular",0.066279832,"Frozen Foods",147.876,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",4540.756
"3857","FDT15",12.15,"Regular",0.042681522,"Meat",184.295,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2014.045
"3858","FDL32",15.7,"Regular",0,"Fruits and Vegetables",112.4544,"OUT013",1987,"High","Tier 3","Supermarket Type1",1230.3984
"3860","FDX40",12.85,"Low Fat",0.098910759,"Frozen Foods",37.6164,"OUT013",1987,"High","Tier 3","Supermarket Type1",308.9312
"3862","FDZ43",11,"Regular",0.057011062,"Fruits and Vegetables",241.9512,"OUT013",1987,"High","Tier 3","Supermarket Type1",2908.2144
"3863","DRM59",5.88,"Low Fat",0.003589104,"Hard Drinks",155.5998,"OUT013",1987,"High","Tier 3","Supermarket Type1",1691.7978
"3868","FDY38",13.6,"Regular",0.119077255,"Dairy",231.23,"OUT013",1987,"High","Tier 3","Supermarket Type1",2330.3
"3873","FDW44",9.5,"Regular",0.035151215,"Fruits and Vegetables",171.8448,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2556.672
"3874","FDU56",16.85,"Low Fat",0.044414056,"Fruits and Vegetables",182.4266,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2028.6926
"3876","FDZ15",13.1,"Low Fat",0.020853376,"Dairy",117.4782,"OUT013",1987,"High","Tier 3","Supermarket Type1",1906.8512
"3877","NCI06",11.3,"Low Fat",0.047791878,"Household",180.766,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",5033.448
"3878","FDD36",13.3,"Low Fat",0.02136022,"Baking Goods",120.4124,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1777.686
"3880","FDX27",20.7,"Regular",0.114581955,"Dairy",94.3436,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",945.436
"3882","FDU36",6.15,"Low Fat",0.046459438,"Baking Goods",100.5384,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1675.1528
"3883","FDJ15",11.35,"Regular",0.023322478,"Dairy",182.5608,"OUT046",1997,"Small","Tier 1","Supermarket Type1",3307.6944
"3884","FDG32",19.85,"Low Fat",0.175962247,"Fruits and Vegetables",223.0772,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1779.0176
"3886","FDS28",8.18,"Regular",0.082333019,"Frozen Foods",58.1588,"OUT013",1987,"High","Tier 3","Supermarket Type1",343.5528
"3887","FDU23",12.15,"Low Fat",0.021757269,"Breads",165.0184,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",3302.368
"3888","DRI03",6.03,"Low Fat",0.0226994,"Dairy",176.4028,"OUT035",2004,"Small","Tier 2","Supermarket Type1",4250.4672
"3892","NCH30",17.1,"Low Fat",0,"Household",114.686,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1358.232
"3893","FDU31",10.5,"Regular",0.024991056,"Fruits and Vegetables",217.9508,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2821.6604
"3894","FDF04",17.5,"Low Fat",0.013658248,"Frozen Foods",256.3304,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",6199.9296
"3895","FDZ20",16.1,"Low Fat",0.034278413,"Fruits and Vegetables",255.2356,"OUT013",1987,"High","Tier 3","Supermarket Type1",6867.0612
"3899","FDL03",19.25,"Regular",0.027058066,"Meat",194.811,"OUT013",1987,"High","Tier 3","Supermarket Type1",2749.754
"3900","FDX04",19.6,"Regular",0.041740902,"Frozen Foods",49.2376,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",958.752
"3901","FDV19",14.85,"Regular",0.035400659,"Fruits and Vegetables",161.9578,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1444.1202
"3902","FDP22",14.65,"Regular",0.099535996,"Snack Foods",52.2666,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",615.1992
"3905","NCM43",14.5,"Low Fat",0.01950565,"Others",163.921,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",2446.815
"3906","DRK35",8.365,"Low Fat",0.071846495,"Hard Drinks",37.9506,"OUT046",1997,"Small","Tier 1","Supermarket Type1",569.259
"3907","FDO20",12.85,"Regular",0,"Fruits and Vegetables",252.3382,"OUT046",1997,"Small","Tier 1","Supermarket Type1",4794.4258
"3908","FDO22",13.5,"Regular",0.017887238,"Snack Foods",79.496,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1438.128
"3909","FDM46",7.365,"Low Fat",0.159967845,"Snack Foods",94.712,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1304.968
"3910","FDO01",21.1,"Regular",0.020718655,"Breakfast",130.4994,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2184.4898
"3912","FDI46",9.5,"Low Fat",0.074460855,"Snack Foods",253.6724,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",5033.448
"3914","FDA32",14,"Low Fat",0.030216783,"Fruits and Vegetables",216.6192,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",3020.0688
"3915","FDW32",18.35,"Regular",0.094279004,"Fruits and Vegetables",86.3882,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1545.9876
"3918","FDT07",5.82,"Regular",0.077304459,"Fruits and Vegetables",257.633,"OUT035",2004,"Small","Tier 2","Supermarket Type1",4613.994
"3919","NCQ43",17.75,"Low Fat",0,"Others",108.6912,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1201.1032
"3920","FDW07",18,"Regular",0.142570104,"Fruits and Vegetables",88.2514,"OUT013",1987,"High","Tier 3","Supermarket Type1",1505.3738
"3921","FDE35",7.06,"Regular",0.043968652,"Starchy Foods",57.6904,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",585.904
"3924","NCG07",12.3,"Low Fat",0.052492122,"Household",191.053,"OUT035",2004,"Small","Tier 2","Supermarket Type1",3415.554
"3925","FDQ03",15,"Regular",0.077999504,"Meat",238.0248,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1896.1984
"3926","FDV46",18.2,"Low Fat",0.012597384,"Snack Foods",141.218,"OUT013",1987,"High","Tier 3","Supermarket Type1",2936.178
"3927","NCM26",20.5,"Low Fat",0.023179181,"Others",154.034,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",2450.144
"3928","DRA59",8.27,"Regular",0.128126825,"Soft Drinks",183.6924,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1295.6468
"3930","DRF27",8.93,"Low Fat",0.028417272,"Dairy",154.534,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2603.278
"3933","FDN25",7.895,"Regular",0.061424738,"Breakfast",57.7588,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1145.176
"3934","FDE33",19.35,"Regular",0.049594299,"Fruits and Vegetables",77.0644,"OUT013",1987,"High","Tier 3","Supermarket Type1",2278.3676
"3935","NCL29",9.695,"Low Fat",0.113939434,"Health and Hygiene",160.2604,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1901.5248
"3939","FDL02",20,"Regular",0.104083376,"Canned",107.4622,"OUT046",1997,"Small","Tier 1","Supermarket Type1",3705.177
"3940","FDO13",7.865,"Low Fat",0.061154604,"Breakfast",165.3526,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1151.1682
"3943","FDX11",16,"Regular",0.106918052,"Baking Goods",183.5634,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",4725.8484
"3944","NCW41",18,"Low Fat",0,"Health and Hygiene",158.0604,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",3327.6684
"3945","FDI52",18.7,"Low Fat",0.105104552,"Frozen Foods",121.7072,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1347.5792
"3947","DRD15",10.6,"Low Fat",0.056795923,"Dairy",232.8642,"OUT046",1997,"Small","Tier 1","Supermarket Type1",3485.463
"3950","FDX59",10.195,"Low Fat",0.051871718,"Breads",35.3558,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",237.6906
"3953","FDR31",6.46,"Regular",0.049162885,"Fruits and Vegetables",146.9102,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1895.5326
"3954","NCH54",13.5,"Low Fat",0.072655379,"Household",157.792,"OUT035",2004,"Small","Tier 2","Supermarket Type1",3994.8
"3956","NCC18",19.1,"Low Fat",0.177992139,"Household",173.1422,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",2931.5174
"3958","FDO16",5.48,"Low Fat",0.015131684,"Frozen Foods",83.025,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1414.825
"3959","FDB08",6.055,"Low Fat",0.031151714,"Fruits and Vegetables",158.7578,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",2085.9514
"3960","NCZ53",9.6,"Low Fat",0.024456797,"Health and Hygiene",186.6214,"OUT013",1987,"High","Tier 3","Supermarket Type1",3203.1638
"3962","DRE48",8.43,"Low Fat",0.01732573,"Soft Drinks",197.9768,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1182.4608
"3963","DRA59",8.27,"Regular",0.127821472,"Soft Drinks",185.9924,"OUT013",1987,"High","Tier 3","Supermarket Type1",555.2772
"3964","FDS27",10.195,"Regular",0.012477512,"Meat",197.111,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",785.644
"3965","NCW29",14,"Low Fat",0.028980533,"Health and Hygiene",129.531,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",2077.296
"3966","DRN35",8.01,"Low Fat",0.070356805,"Hard Drinks",36.8532,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",755.0172
"3967","FDB09",16.25,"Low Fat",0.057396092,"Fruits and Vegetables",125.8046,"OUT046",1997,"Small","Tier 1","Supermarket Type1",747.0276
"3968","FDV59",13.35,"Low Fat",0.048017962,"Breads",219.6166,"OUT035",2004,"Small","Tier 2","Supermarket Type1",3483.4656
"3970","FDV55",17.75,"Low Fat",0.05507343,"Fruits and Vegetables",145.1444,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1886.8772
"3971","FDH48",13.5,"Low Fat",0,"Baking Goods",88.054,"OUT013",1987,"High","Tier 3","Supermarket Type1",1211.756
"3973","DRG48",5.78,"Low Fat",0.014577695,"Soft Drinks",147.2102,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1895.5326
"3974","FDP49",9,"Regular",0,"Breakfast",55.2614,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",552.614
"3975","FDB03",17.75,"Regular",0.156831826,"Dairy",241.0538,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1201.769
"3976","FDL10",8.395,"Low Fat",0,"Snack Foods",98.7042,"OUT013",1987,"High","Tier 3","Supermarket Type1",892.8378
"3978","FDD11",12.85,"Low Fat",0,"Starchy Foods",253.004,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",3795.06
"3979","FDW13",8.5,"Low Fat",0.098036903,"Canned",51.5324,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",882.8508
"3982","DRI37",15.85,"Low Fat",0.107597879,"Soft Drinks",58.7904,"OUT046",1997,"Small","Tier 1","Supermarket Type1",585.904
"3983","FDU38",10.8,"Low Fat",0.082549896,"Dairy",193.7504,"OUT046",1997,"Small","Tier 1","Supermarket Type1",4602.0096
"3985","FDT38",18.7,"Low Fat",0.057771828,"Dairy",85.3566,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",591.8962
"3986","FDX02",16,"Low Fat",0.057292529,"Dairy",224.3404,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",4500.808
"3987","NCN18",8.895,"Low Fat",0.124610886,"Household",113.1544,"OUT013",1987,"High","Tier 3","Supermarket Type1",4250.4672
"3989","DRP35",18.85,"Low Fat",0.091237452,"Hard Drinks",128.9336,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1278.336
"3990","DRK47",7.905,"Low Fat",0.064325351,"Hard Drinks",230.2694,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",3197.1716
"3991","DRI47",14.7,"Low Fat",0.020920179,"Hard Drinks",143.8128,"OUT046",1997,"Small","Tier 1","Supermarket Type1",3020.0688
"3993","FDC34",16,"Regular",0.173462841,"Snack Foods",157.6972,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",2960.1468
"3998","FDP56",8.185,"Low Fat",0.046673494,"Fruits and Vegetables",48.4692,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",591.2304
"3999","NCX54",9.195,"Low Fat",0.048134591,"Household",107.7622,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",529.311
"4000","FDI20",19.1,"Low Fat",0.038720852,"Fruits and Vegetables",210.8586,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",6331.758
"4004","DRO47",10.195,"Low Fat",0,"Hard Drinks",114.086,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1810.976
"4008","FDJ21",16.7,"Regular",0.03858813,"Snack Foods",144.6102,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",3353.6346
"4009","FDO40",17.1,"Low Fat",0.032628111,"Frozen Foods",148.7392,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1640.5312
"4011","FDJ21",16.7,"Regular",0.038528228,"Snack Foods",143.9102,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1749.7224
"4015","FDN57",18.25,"Low Fat",0.054234197,"Snack Foods",142.0154,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2269.0464
"4023","FDU33",7.63,"Regular",0.135258515,"Snack Foods",47.2402,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",918.804
"4024","NCN06",8.39,"Low Fat",0.120396991,"Household",163.4868,"OUT013",1987,"High","Tier 3","Supermarket Type1",4586.0304
"4026","NCE30",16,"Low Fat",0.099053537,"Household",212.6902,"OUT013",1987,"High","Tier 3","Supermarket Type1",637.1706
"4030","FDD23",9.5,"Regular",0.048883854,"Starchy Foods",185.7898,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",2619.2572
"4031","FDH57",10.895,"Low Fat",0.035893143,"Fruits and Vegetables",131.3284,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1318.284
"4033","FDY49",17.2,"Regular",0.012012071,"Canned",163.1184,"OUT046",1997,"Small","Tier 1","Supermarket Type1",4623.3152
"4034","FDP20",19.85,"Low Fat",0.045855273,"Fruits and Vegetables",127.102,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1771.028
"4036","DRJ59",11.65,"Low Fat",0.019402371,"Hard Drinks",38.7164,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",579.246
"4037","FDP34",12.85,"Low Fat",0,"Snack Foods",155.463,"OUT035",2004,"Small","Tier 2","Supermarket Type1",4068.038
"4039","FDV11",9.1,"Regular",0.081794766,"Breads",173.6054,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",700.4216
"4042","FDV34",10.695,"Regular",0.011472001,"Snack Foods",75.2038,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",517.3266
"4043","FDT44",16.6,"Low Fat",0.103146658,"Fruits and Vegetables",117.2466,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",2239.0854
"4045","FDG08",13.15,"Regular",0.166032929,"Fruits and Vegetables",170.8764,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",2233.0932
"4049","FDW03",5.63,"Regular",0.024536636,"Meat",106.1306,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2090.612
"4050","FDV01",19.2,"Regular",0.085296625,"Canned",153.4314,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1861.5768
"4052","FDA16",6.695,"Low Fat",0,"Frozen Foods",219.4456,"OUT046",1997,"Small","Tier 1","Supermarket Type1",3094.6384
"4053","FDO12",15.75,"Low Fat",0.054930533,"Baking Goods",194.4452,"OUT046",1997,"Small","Tier 1","Supermarket Type1",5089.3752
"4054","FDM44",12.5,"Low Fat",0.031097948,"Fruits and Vegetables",103.899,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1960.781
"4057","NCL18",18.85,"Low Fat",0.168266556,"Household",195.5136,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1749.7224
"4058","NCJ06",20.1,"Low Fat",0.034646067,"Household",120.6782,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1310.9602
"4059","NCQ05",11.395,"Low Fat",0.021639678,"Health and Hygiene",150.1708,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",2708.4744
"4063","FDW24",6.8,"Low Fat",0.037465846,"Baking Goods",47.5034,"OUT013",1987,"High","Tier 3","Supermarket Type1",534.6374
"4067","DRN11",7.85,"Low Fat",0.163233667,"Hard Drinks",144.6444,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",2467.4548
"4068","FDY57",20.2,"Regular",0.121748174,"Snack Foods",96.9752,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1725.7536
"4070","FDM24",6.135,"Regular",0.079327367,"Baking Goods",152.8366,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2871.5954
"4071","FDX09",9,"Low Fat",0.065194971,"Snack Foods",177.737,"OUT013",1987,"High","Tier 3","Supermarket Type1",2117.244
"4072","FDY45",17.5,"Low Fat",0.026248606,"Snack Foods",255.1356,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",3815.034
"4074","FDG05",11,"Regular",0,"Frozen Foods",155.263,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",625.852
"4075","FDF05",17.5,"Low Fat",0.026865809,"Frozen Foods",261.691,"OUT035",2004,"Small","Tier 2","Supermarket Type1",4207.856
"4080","DRD15",10.6,"Low Fat",0.056748659,"Dairy",233.6642,"OUT013",1987,"High","Tier 3","Supermarket Type1",3950.1914
"4083","FDZ47",20.7,"Regular",0.07929647,"Baking Goods",97.2042,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1686.4714
"4086","FDY04",17.7,"Regular",0.042542484,"Frozen Foods",161.921,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",2120.573
"4087","FDY47",8.6,"Regular",0.054474158,"Breads",131.031,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1038.648
"4088","FDE28",9.5,"Regular",0,"Frozen Foods",228.4668,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",3916.2356
"4089","FDJ27",17.7,"Regular",0.122372504,"Meat",101.5674,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1629.8784
"4092","NCQ54",17.7,"Low Fat",0.012593467,"Household",167.6474,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",3874.2902
"4093","FDL44",18.25,"Low Fat",0.012325122,"Fruits and Vegetables",162.8894,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",647.1576
"4094","FDY50",5.8,"Low Fat",0.131489269,"Dairy",89.7172,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1605.9096
"4098","FDL20",17.1,"Low Fat",0.128390273,"Fruits and Vegetables",111.9886,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1445.4518
"4099","FDB27",7.575,"Low Fat",0.055476238,"Dairy",196.8768,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1182.4608
"4100","FDA56",9.21,"Low Fat",0.008757492,"Fruits and Vegetables",120.8414,"OUT013",1987,"High","Tier 3","Supermarket Type1",2071.3038
"4101","FDV39",11.3,"Low Fat",0.007273831,"Meat",196.6426,"OUT013",1987,"High","Tier 3","Supermarket Type1",5141.3076
"4104","FDS24",20.85,"Regular",0.062477955,"Baking Goods",87.2514,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1505.3738
"4105","FDS15",9.195,"Regular",0.078060601,"Meat",106.3596,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2912.2092
"4107","DRP47",15.75,"Low Fat",0.140821917,"Hard Drinks",252.9382,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",2775.7202
"4108","FDA25",16.5,"Regular",0.068403271,"Canned",101.999,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",619.194
"4110","NCM26",20.5,"Low Fat",0.02312394,"Others",154.634,"OUT013",1987,"High","Tier 3","Supermarket Type1",2297.01
"4111","FDS46",17.6,"Regular",0.047449835,"Snack Foods",118.1782,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",2621.9204
"4112","DRH15",8.775,"Low Fat",0.110359004,"Dairy",42.7428,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",790.9704
"4113","NCR05",10.1,"Low Fat",0.054620504,"Health and Hygiene",197.5084,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2976.126
"4115","FDZ01",8.975,"Regular",0.009051307,"Canned",103.099,"OUT013",1987,"High","Tier 3","Supermarket Type1",309.597
"4117","FDE57",9.6,"Low Fat",0.03625493,"Fruits and Vegetables",141.0154,"OUT013",1987,"High","Tier 3","Supermarket Type1",2694.4926
"4119","NCP53",14.75,"Low Fat",0.033024328,"Health and Hygiene",236.6906,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",3089.9778
